調味料を入れておいたり,調味料を入れる
野菜不足やビタミン不足を補てんするために購入,野菜不足やビタミン不足を補てんする
アイスや冷凍食品を買ったときに入れるのに購入しました保冷剤を入れておくと夏でも家に帰るまではもちます,食べ物を冷蔵して運ぶ
私のおさがりの携帯を子供用のゲーム専用にする為に購入しました,ゲームをプレイする
現金や通帳を管理するために購入しました,お金を管理する
旅行でバックパックをするために購入しました,荷物を入れる
鞄に入れてる時の保護用に購入しましたが意外とかさばらないので鞄に入れても違和感がそんなにないです,荷物を保護する
ミニテーブルがあるだけでお弁当がとてもたべやすくなりました,物を置く
とても素敵なツリーで大満足です,クリスマスに飾る
水菜やからし菜を０ｇ詰めるのに使っています,野菜を入れる
ｂｂｑでサムギョプサルをするのに購入,ｂｂｑで食べる
安すぎるミシンは壊れやすく厚いものは縫えないと聞いたので少しお値段を出してこちらに決めました,袋を作る
子供のぬいぐるみを入れるのに購入しました,物を入れる
フィギュアを飾るために購入しました,フィギュアを飾る
大きなフライパンだと洗うのが意外と大変で使うのも億劫でしたがこれなら気軽に使えます,食事を作る
全部入れでは無く化粧品を少し持ち歩く時に使用します,化粧品を入れる
布巾をキッチンで手洗いするために購入しました,布巾を洗う
明るさも問題なく良い買い物ができました,明るくする
草刈り機の混合ガソリンを入れる為に購入,ガソリンを入れる
娘たちは脇と口ひげに私は脇とｖｉｏに,ムダ毛を剃る
スマホから写真データを抜き出すのに購入しました,写真データを抜き出す
引っ越しの荷物運びをする為に購入しました,荷物を運ぶ
ステージなどでちょっとした変化を出すのにとても便利です,ステージを演出する
主に掃除用に購入しました,掃除する
ｗｉｆｉ一覧表示させてパスワードを入れるだけで一発で繋がりました,ｗｉｆｉを利用する
内枠付きでアクリルもつけたのですごく重くなりましたが見た目が良くて満足です,絵を入れる
サンプルでもらった化粧下地やクリームファンデ美容液や乳液などを入れる為に購入しました,化粧品を入れる
お米を入れるのに購入,お米を入れる
お弁当箱と水筒を入れる為に買いましたがやや小さかったです,物を入れる
ｐｃのｕｓｂ防塵用に挿し込むために購入,ｕｓｂを保護する
新居のポストに貼る為に購入しました,ポストに貼る
皮のブーツを補修するために購入しました,ブーツを補修する
ドライブレコーダーの映像をテレビに出力するために買いました,映像を出力する
自宅で鍋をするために購入しました,食事を作る
柔らかい灯りで部屋がお洒落になったと大満足しています,部屋を明るくする
クボタディーゼル耕運機に軽油を保管用に購入しました,軽油を入れる
洗った食器を拭く用に購入しました,食器を拭く
寝る前に部屋を暖める為に買いました,部屋を暖める
保育園で遊んで濡れた服を入れるのに購入しました,服を入れる
ｔシャツやオフショルダーの洋服をかけるのに便利です,洋服をかける
好きな生地でパネル作りをするために購入しました,パネルを作る
ラジオ英会話を録音するため,録音する
自分の好きな時間に聞く,聞く
アジャスターを作るのに購入,アジャスターを作る
祖父の一回忌に着ていく為,身体に着用する
朝と夜に飲むようにしてから体調が良くなったと言っています,体調を良くする
週末に食べ過ぎてしまっても飲む前と比べて体重が一度に増えたりすることがなくなった,体重を管理する
朝飲むだけで日中元気に過ごせる気がします,元気に過ごす
オリーブオイルを気軽に摂取するのに便利,オリーブオイルを摂取する
手持ちのペンダントペッド縦０ｃｍ・横０ｃｍに合わせるために購入,ペンダントヘッドを付ける
品質も良いチェーンだと思います,首に掛ける
視認性をあげる為に購入,視認性をあげる
自転車に乗る時に携帯など入れる,所持品を入れておく
必要なものを入れたら,所持品を入れる
テーブルの上などに飾っても可愛い,飾る
テレビがないのにどこから歌が聞こえるの,歌を聴く
お風呂場のバスマットを掛ける用,何かを掛ける
棚部分には洗濯カゴを置いています,何かを置く
家族で楽しく体幹トレーニングをする為に購入,体幹トレーニングをする
鍛えてる感をより実感,身体を鍛える
ストラップを作るために購入,ストラップを作る
電圧をチェックする為に購入,電圧をチェックする
バッテリーの状態発電状態をチェックするのに最高です,バッテリーの状態発電状態をチェックする
職場でサンタコスする,身体に着用する
ちょっと遊ぶ為に買ったロッドでしたが軽くてガイドもｓｉｃまでいかないですが滑らかで良かった,釣りをする
０ヶ月の娘を乗せるために,子供を乗せる
軽くて持ち運びが楽ですし,持ち運ぶ
娘もクッションの座り心地が良さそうです,子供が座る
近所に買い物やジムでタオルやスマホペットボトルを入れる用に購入,所持品を入れる
急な雨から荷物を守るために,雨から荷物を守る
小さく折り畳め携帯に便利です,携帯する
食欲を抑えるために購入,食欲を抑える
ユニフォームの下に着るために購入,身体に着用する
車の中でｄｓの充電をするために購入,充電をする
貼れパネを切り取るのに使いやすいです,貼れパネを切り取る
ちょっとしたものを入れて散歩に行くのに良いサイズ,所持品を入れる
床に布団をひいて寝るので結露防止用に買いました,結露を防止する
前髪のスタイリングに使いやすかった,髪をスタイリングする
ポケットがたくさんあってしっかりしたリュックです,所持品を入れる
色物を入れても安定していて大丈夫でした,所持品を入れる
背負いやすくてかなり重宝,背負う
通帳０冊とカードでパンパンです,通帳やカードを入れる
移動中音楽を聴くのに使っているようです,音楽を聴く
今まではｍｉｃｒｏｕｓｂケーブルでモバイルバッテリー本体を充電しｌｉｇｈｔｎｉｎｇケーブルでｉｐｈｏｎｅにつなぎ充電していて使い分けるのが面倒でした,ｉｐｈｏｎｅを充電する
子どもの足音を軽減するために購入,足音を軽減する
たまに普段の離乳食の時にご飯やお味噌汁を入れるのに使っています,食べ物を入れる
ケースも印鑑も可愛いのでとても気に入りました,押印する
梅ジュースを作るのに購入,ジュースを作る
小指の第０関節が痛むので保護用,関節を保護する
子供達の上履きを洗う為に購入,上履きを綺麗にする
アクセサリーに加工するために購入,アクセサリーを加工する
財布や定期入れをいれて持ち歩くために購入,所持品を持ち運ぶ
ｄｖｄを再生するだけなら,ｄｖｄを再生する
寝室のテレビでｄｖｄを見るために購入,ｄｖｄを見る
作業スペースに床を作る為に購入,作業床を作る
木材で床を作ったら湿気でカビてしまい床が抜けたので樹脂なら腐る心配はないと色探したらこちらがお安く中国製という事で若干不安はあったものの注文,床を作る
ルアーのフックの重量をはかるために購入,ルアーの重量を図る
折り畳みナイフのグリップに蜜蝋を刷り込んで耐水性を上げる為に購入,ナイフを耐水性にする
メッセージボールを保管するために購入,ボールを置く
ネイルを隠す為に購入,ネイルを隠す
ポストに貼る為に購入,郵便ポストに貼る
家庭菜園の野菜を洗ったりするのに購入,野菜を洗う
ツムツムをやるために購入,ツムツムをプレイする
ゴミが細かいのと大きなものに分別されて量も一目瞭然結構パワーがある,部屋を掃除する
ハンディタイプとしても使えるので鞄の中や狭い場所など綺麗にできて,身の回りを掃除する
主人の仕事に持って行くお弁当用に購入,お弁当を入れる
今までのお弁当よりは若干温かいといつも持って行って,お弁当を持ち運ぶ
丈夫で暖かくぐっすり寝ることが出来ました,快眠をする
春先に着用する為に購入,春に着る
このタオルもフワフワして気持ち良いです,体を拭く
タオルを贈り物する事が多い,相手にプレゼントする
アリスのいる某テーマパークで着るために購入,テーマパークで着る
雨風を防ぐために三面にするために買い足しました,雨風を防ぐ
燃えるごみをストックするために購入,ゴミをストックする
ゴミの日までこのゴミ箱に入れてます,ゴミを入れる
財布小鍵スマホハンドタオルウエットティッシュを入れるとパンパんになって,所持品を入れる
子供のジャンパー類をひっかける,服を整理する
子供のジャケット類をかけるために購入,コートを掛ける
お客さんのコートをかけるのにも便利で購入,コートを掛ける
ホットタオル作る為に買いました,タオルを温める
缶コーヒータオル入れてたらしっかり保温,物を保温する
粘度の高い塗料が吹ける物が欲しくて購入,塗装を吹く
棚作り用に購入,棚を製作する
取り付けようとしましたが傘は斜めになるし傘の重みで棒が倒れてくるしで,傘を立たせる
足元が冷える季節なのでミニサイズで持ち運びが楽チンなこちらを内祝い用に購入,足を保温する
シングルベッドを０台繋げて使うのに買いました,ベッドを連結する
リングを製作するのに購入,リングを制作する
０ｍｍのマットとラグマットが余裕ではいります,マットを収納する
ウエアやタオルペットボトルも一緒に入りますがあまり重くして肩紐が取れてしまう,所持品を持ち運ぶ
汚れから守るために購入したものすべてに防水スプレーをする癖がついています,汚れから守る
来客時にも美味しいコーヒーをお出しするのに使えますので便利,コーヒーを淹れる
制服を掛ける専用ハンガーラックとして購入,制服を掛ける
カバンや小物類を掛けるのに適した商品,服飾品を掛ける
新学期用のバッグを作る為に購入,バッグを作る
ブレスレットを作るために購入,ブレスレットを制作する
マフィンやカップケーキをつくるのに便利と思い購入,ケーキを作る
ステージから遠い席なのでしっかり見たいと思って購入,ステージを見る
遠い席からでも衣装の質感や細やかな表情までよき見えて,遠くのものを見る
ボンベを締めるのに購入,ボンベを締める
厚手なので座っていても快適でした,楽に座る
体型も隠せるし,体型を隠す
寒さ対策にも使えると思います,寒さを防ぐ
効率よく除草できます,除草する
小さい子供の付き添いでプールに入るために購入した,水に入る
ｉｐｈｏｎｅを充電するのに購入,スマートフォンを充電する
お風呂で映像などを楽しむために購入しました,動画鑑賞する
本を挟んで絵を見ながらお絵描きをしていました,本を固定する
リビングのカーペットを固定するために購入,物を固定する
十分保冷されていて助かりました,保冷する
ダウン程の保温性はないと思いますが,保温する
シートを完全に覆うサイズで申し分ないです,車のシートを覆う
生地が少し厚めで暖かい点が良かったです,保温する
部屋をスッキリさせるために購入,物を収納する
チューブを固定する為に購入しています,固定する
プロ野球選手のワッペンを取り付けるのに使いました,接着する
いろんな種類の花火が入っててすごく楽しみです,花火をする
ピンとクリップと０ｗａｙですので,留める
普通のｕｖパーカーでもよかったのですが,紫外線を防止する
長財布と携帯を持ち歩くために購入しました,持ち物を入れる
ノートｐｃを入れるのに買いました,ｐｃを収納する
貴重品携帯用に購入しました,持ち物を入れる
胃の調子が悪い時等,胃腸を整える
疲労回復にはとても良いといってました,疲労回復する
実印用に購入しました,押印する
野菜を切る時の感触や音が心地いいです,食材を切る
柿のヘタまわりの果肉を水平に落とすのに購入しました,果物を切る
車で充電する為に購入しました,充電する
ほぼ収納できたので大満足しています,物を収納する
雛人形をしまうのに購入,物を収納する
ストレッチをするために購入しました,ストレッチをする
術後の傷を隠す為に購入しました,傷隠しする
綺麗な黒豆が煮えました,鍋料理をする
スピーカー？とｉｐｏｄを繋いで使うのに買いました,音響機器を接続する
とても参考になる一冊です,参考にする
今まで使っていただっこ紐が私の小柄な体型に合わずでもこちらは大丈夫でした,幼児をだっこする
キッチンでお菓子やお弁当用具入れるのに購入しました,物を収納する
温かく,保温する
中に雪が染み込むこともなくとても良かったです,防水する
会社書類をまとめるために購入です,書類を綴る
味噌を作るために購入しました,味噌を作る
テープをｃｄにするために購入しました,テープをｃｄにする
お昼寝用に購入しました,昼寝をする
結婚式に着ていく為に購入,着る
愛犬のリード・首輪・ハーネスを作るのに購入,犬のリードを作る
愛犬のリード・首輪・ハーネスを作るのに購入,犬の首輪を作る
愛犬のリード・首輪・ハーネスを作るのに購入,犬のハーネスを作る
財布を入れて出かける為に購入,財布を入れる
お楽しみ会をするために購入,お楽しみ会をする
チュニックを作るのに購入しました,チュニックを作る
ｏｃｎの通常ｓｉｍを入れるために買いました,ｓｉｍカードを入れる
トースターと炊飯器とケトルをのせるのに購入しました,トースターをのせる
トースターと炊飯器とケトルをのせるのに購入しました,炊飯器をのせる
トースターと炊飯器とケトルをのせるのに購入しました,ケトルをのせる
頭と手先を鍛えるのに良いと思い購入しました,頭を鍛える
頭と手先を鍛えるのに良いと思い購入しました,手先を鍛える
座布団カバー用に購入しました,座布団カバーにする
小学生の子供を乗せるのに購入,子供を乗せる
着替えを入れるために買いました,着替えを入れる
車のラゲッジルームに敷くのに購入しました,車のラゲッジルームに敷く
猛暑を乗り切るために購入しました,猛暑を乗り切る
商品をパックするのに購入しました,商品をパックする
息子の習い事（サッカー）に持っていくために購入しました,習い事に持っていく
娘の七五三の写真を入れるために購入しました,写真を入れる
子供と海や川に行くために購入しました,海や川に行く
運動会で使用するために購入しました,運動会で使用する
落ち着いてお弁当が食べられそうで,お弁当を食べる
友達とディズニーランドに行くために購入しました,ディズニーランドに行く
コーヒーを出すのに良いと思って０客購入しました,コーヒーを出す
我が子の自転車用に購入しました,自転車に乗る
テーブルの上のゴミを片付けるのに購入しました,ゴミを片付ける
お礼状を書くために購入,お礼状を書く
子供のおもちゃを整理するために購入しました,おもちゃを整理する
カバンを掛けるフックも左右付け直せる,カバンを掛ける
一番上には七五三の写真を飾って,写真を飾る
膝を冷やすのに使用したくて探していました,膝を冷やす
ヨーグルトを盛り付ける為に購入しました,ヨーグルトを盛り付ける
動画を見たりするのに,動画を見る
持ち歩くのに便利です,持ち歩く
保冷力はまあまあかな,保冷する
一気に見るために購入,見る
スマホで音楽を聴くために購入です,音楽を聴く
スマホをカバンに入れる時に使うのに購入しました,カバンに入れる
画面も拭けるので便利です,画面を拭く
フィギュアを置くために購入しました,フィギュアを置く
デジカメで動画を撮るために購入しました,動画を撮る
スタッドレスタイヤに交換するのに購入しました,タイヤを交換する
バッグに結ぶために購入しました,バッグに結ぶ
ビデオカメラのデータを見る為,ビデオデータを再生する
ハンドガン保管用に,ハンドガンを保管する
たこ焼きを作るため,たこ焼きを作る
マキネッタを使用するため,マキネッタを使用する
会社で使用するのに購入しました,会社で使用する
玄関用に購入しました,玄関で使用する
小腹が空いた時用に購入,空腹を満たす
幼児と妻が一緒に寝るため,こどもが母親と一緒に寝る
割った雪を道路の端に寄せるのに使った,雪を道路の端に寄せる
車用のステッカーを作る為に,車用のステッカーを作る
子供と海へ旅行に出かけるため,海に行く
ホワイトをポジション＆ナンバー灯用に購入,目立つように白く塗る
札入れカード入れコインケースで使い分けるため,お金とカードを整理する
サンキャッチャーを作る為に購入,サンキャッチャーを作るため
汚れた愛車を洗車するのに使用,洗車をする
主に郵便物の重さを計るのに使用しています,郵便物の重さを計る
手提げバッグを作るために購入,手提げバッグを作るため
シューズケースも同じ生地で作る予定です,シューズケースを作るため
タバコの本数を減らすのに使ってみよう,喫煙量を減らす
外構を自分でやるために購入,外構を自分で作る
ジム通いをすることとなり用品を入れるために購入,ジムで使う物を入れる
運動着着替えバスタオルシューズなど入れる,ジムで使う物を入れる
年賀状に貼って使うために,年賀状に貼る
いろいろなスタイを保育園用に購入,洋服の汚れを防ぐ
お弁当を包むのに使っています,お弁当を包む
ギフト用に購入,プレゼントする
ピアスを作る用に購入,ピアスを作る
旅行用に購入,旅行に持って行く
予習と授業で分からなかったことを復習するのに使っている,予習と復習をする
ハンティング用に購入,狩りをする
止め刺し解体までは全く問題ない,止め刺しをする
解体までは全く問題ない,解体する
アクリル板を木材に取り付けする為,アクリル板を木材に取り付ける
内祝い用に購入,内祝いをする
転倒の衝撃を和らげる為,けがを防ぐ
家の可動棚を増やすために購入,可動棚を増やす
塾弁当曲げわっぱ０段を包むため,弁当箱を包む
仕事でデーター整理用に買いました,データを整理する
ランチョンマットを作るのに,ランチョンマットを作る
ラミネート生地を切るために購入,ラミネート生地を切る
娘に教えるために購入,教える
夫婦でキャンプに行くために購入,キャンプに行く
ちょっと寒い時に着るのに,寒さを防ぐ
ポール筋トレで使っています,手汗で滑るのを防ぐ
ポールダンス用に購入してみました,手汗で滑るのを防ぐ
子供の英語ヒアリング用,英語を学ぶ
体幹を鍛え姿勢を正しくする,姿勢を矯正する
姿勢が良くなり続けられそう,姿勢を矯正する
学校や幼稚園のプリントを整理するのに購入しました,ファイルを収納する
風呂上がりに乾かすのと軽くセットするのに使用します,髪を乾かしてセットする
ドライヤーの風はさほど強いと言う訳ではありません,髪を乾かしてセットする
くしの部分は通常のものとカール用と０つ入ってます,髪を乾かしてセットする
天井に真っ黒にはえたカビを除去するために,カビを除去する
あまり綺麗に撮れず活躍はしませんでした,撮影をする
家族で撮るにはとても便利だと思います,撮影をする
診察券お薬手帳血圧手帳をまとめるために購入,書類を収納する
診察券を取り出す（探す）手間がなくなりました,書類を収納する
薬を飲ませるために購入しました,薬を収納する
０歳の息子がベビーカーに乗るのは嫌がりますが,子供を乗せる
秋にユニバーサルへ行くために購入しました,ユニバーサルジャパンを楽しむ
マラソンのアップに着るために買った,スポーツの時に着る
ちょっとした外出時に使うために購入,小物を収納する
内側の生地の中ににカシャカシャ音のする内ポケットがついています,小物を収納する
子供の服を作るために購入しました,裁縫をする
ルームウェア用に購入しました,部屋で着て過ごす
コンビニなどちょっとした外出にもそのまま着ていけそう,部屋で着て過ごす
メイプルチーズケーキを作るために購入,ケーキを作る
時計の読み方を覚えるには良いと思います,時間を知る
シンク下収納でジップロックを片付ける用に購入,収納をする
自重トレに慣れてしまった為負荷をかけるために購入,筋トレで負担を増やす
筋トレの幅が広がる,筋トレで負担を増やす
子供がお菓子を入れるのに買いました,物を収納して持ち歩く
取手部分がほつれかけていて持っていると落ちそうだった,物を収納して持ち歩く
足を痛めた老犬用に購入,犬の歩行を補助する
手や口を拭くのに利用しています,汚れを拭く
子供との入浴ｔｉｍｅを楽しくするために購入,風呂場で遊ぶ
レンズをリュックサックに入れて行く用に購入,レンズを収納する
園児のお弁当サイズ,弁当などを収納する
氷のうやゼリーを入れて持っていくのに使っています,弁当などを収納する
家族ブルーでお揃いにしてはぐれたときの目安のひとつに出来そうです,防災時にはぐれない
インターネットができてちょっとオフィスもできるこの機種,パソコンで授業を受ける
包丁はグローバル以外は考えられません,物を切る
スマフォを充電するために使用してみました,スマホを充電する
スマッジの煙をまくために使用してます,煙をまく
節煙出来るかなくらいの気持ちで,タバコを節約する
０日に０箱ペースだった彼氏も０日くらいは持つようになりました,タバコを節約する
普段０センチの靴ですが今回０－０センチでちょうどよかったです,足に履く
部屋の雰囲気を明るくするために購入,部屋の明かりの色を変える
もともとはネイビーでしたがテラコッタにしました,部屋の明かりの色を変える
落ち着いたオレンジ色という感じ,部屋の明かりの色を変える
フルフェイスのヘルメットを入れるために購入,ヘルメットを入れる
部屋の壁に吊るしておくと何もしなくても突然青や赤にゆっくりと点滅を始めて,明かりを点滅させる
デジカメを包むのに購入しました,デジカメを包む
友達にアクセサリーを作るために購入,アクセサリーを作る
ジムで着るために購入,ジムで着る
カウンターの天板を保護するために購入,天板を保護する
子どものぬいぐるみを入れるのに使っています,ぬいぐるみを入れる
食器を拭くのに購入しましたがきれいに拭けて気持ちいいです,食器を拭く
退職祝いに贈るのに購入しました,退職を祝う
子供達の前髪を切るために購入しました,前髪を切る
ストーブでお茶を作るのに購入しました,お茶を作る
日の覚書などを書くのに使おうと思います,覚書を書く
音楽を聴くために購入したのでラジオは使用してないのでわかりません,音楽を聴く
ベビー用品を作るのに購入しました,ベビー用品を作る
ｗｉｎｄｏｗｓ０→０へグレードアップ後にファイル履歴用に購入しましたが原因不明のエラーファイル履歴用ｕｓｂとして認識されませんと表示が出て使えませんでした,ファイルをバックアップする
娘の仕事用ｐｃを入れる為に購入,ｐｃを入れる
子供のサッカーボールを入れるために購入しました,サッカーボールを入れる
朝洗顔した後に口の中をブラッシングするために使っています,口内をブラッシングする
お絵描きが好きではない０歳の娘に自由にお絵描きできる楽しい環境を作るために購入しました,絵を描く
大きさもちょうどよく簡単に取り付けられしっかりした作りでマグネット遊びまでできる優れものです,マグネットで遊ぶ
子供を連れて海に行くのに購入しました,海に行く
タイ旅行にいくために購入しました,旅行に持って行く
天然石を入れるために購入しました,天然石を入れる
娘たちの分は楽譜を貼る用に買ったのですがばっちりでした,楽譜を貼る
娘のアーティスト魂をくすぐるスケッチブックです,スケッチする
大人０人と子ども０人の我が家には一週間ぶんのプラスチックごみを入れるのにちょうどいいサイズです,ごみを入れる
ｐｃ出力を０画面出力するために購入,ディスプレイに出力する
たくさんのおむつを保存するために買いました,おむつを保存する
おもちゃ入れに他のサイズも購入予定です（ω）,おもちゃを入れる
子供の運動会の荷物を運ぶのに購入しました,荷物を運ぶ
毎朝野菜ジュースを作るのに購入しました,ジュースを作る
夜勤で朝から寝るのに使用してますが光を完全にシャットダウンするので重宝しています,光を遮断する
敷地内の水路から散水用水を汲み上げるために購入しました,水を汲み上げる
思った以上の厚みがあるので足音が軽減できて気にならなくなりました,足音を軽減する
ケージ内で元気に飛び回っています♪,鳥を飼う
家庭用ミシンで革を縫うのに購入しました,革を縫う
子供が０日間アメリカに旅行行く為に購入しました,旅行する
ｇｅ０フィットに防音対策用に購入しました,音を防ぐ
また冬場の防寒にもつながったと書いていた方がおられたのでそちらにも期待したいです,寒さを防ぐ
一回分のパン生地を捏ねるのに購入しました,パン生地を捏ねる
子ども達とワイワイ遊びながら写真を撮ろうとするとスマホケースが泥で汚れるのが嫌で購入しました,汚れを防ぐ
海にも行き泳ぎましたが水に浸かっても平気でした,水を防ぐ
子供が庭でプールをする時の日除け用に購入しました,日差しを防ぐ
他の方のレビューを参考にポータブルｄｖｄプレーヤーを設置するのに購入しました,ポータブルｄｖｄプレーヤーを設置する
ゴマだれや梅味噌ドレッシングなどを作って保管するのに使ってます,ドレッシングを保管する
パソコン作業が多くドライアイがひどいためブルーライトカットメガネを家用と職場用に購入しました,ドライアイを防ぐ
燃えるゴミとプラゴミの分別に使う為に購入しました,ゴミを入れる
クランクプーリーを緩めるのに買いました,クランクプーリーを緩める
仕事場の机を間仕切るために購入,机を間仕切る
普段使い目的で購入,普段に使用する
仕事着を洗うのに使ってます,仕事着を洗う
休日自宅で作業をする為に購入しました,自宅で仕事をする
スマホを固定する為に購入,スマホを固定する
ハサミの切れ味も良好です,ハサミで切る
安全に座れるし自分の特別な椅子があることでしっかり座って食べる習慣が身につきました,安全に座る
ハイローチェアに着けるために購入しました,ハイローチェアに着ける
無脂肪高タンパク質のヨーグルトを作るのに使います,ヨーグルトを作る
種を追い蒔き用に購入,種を蒔く
シーツや布団カバーを保育園から持ち帰るために購入,シーツや布団カバーを入れる
キャンプでエアベッドを二つ連結するために購入,エアベッドを連結する
娘がスマホで音楽動画を見るために購入,音楽動画がを見る
画像を編集する為に買いました,画像を編集する
もともとはイベントの小道具を入れるために購入しました,小道具を入れる
ジュアール茶を煮出すために使うので茶渋が色が見えないのでよかったです,ジュアール茶を煮出す
会社に置いておくのに購入しました,会社に飾る
子供がイヤホンを手作りするのに購入しました,イヤホンを手作りする
キラキラの立派な兜飾りでした,初節句を祝う
短刀を作るために買いました,短刀を作る
幼稚園の靴下にお名前書くために購入,名前を書く
シートベルトのこすりキズが気になって運転席と助手席用に購入,キズを付けない
コタツの下に敷く為に購入,コタツの下に敷く
そのまま酢の物を作るのにとても便利,酢の物を作る
オリジナルドレッシングも簡単にできます,ドレッシングを作る
キャンプ用のコンテナボックスに貼るために購入しました,コンテナボックスに貼る
ｌｕｍｉｘｇ０で０ｋ撮影を行うために購入です,０ｋ撮影を行う
ドール遊びに使うために購入しました,人形で遊ぶ
ほとんど音楽を聴くために購入しました,音楽を聴く
旅行中デジカメを入れるために購入しました,デジカメを入れる
クミヒモをするために購入キレイな糸です,クミヒモを作る
ストレスなく綺麗に撮影ができ問題ありませんでした,撮影をする
娘も何度か座らせているうちにイスに乗せるときのみ足をピンと伸ばしてくれるようになりました,子供が座る
おとなっぽいアクセサリーを作るのに使用しようと思います,アクセサリーを作る
娘の幼稚園用品を作るために購入しました,幼稚園用品を作る
ホットコーヒー用にお湯を持っていくために購入しました,お湯を入れる
大きなうちわを飾り付けるお花を作る為に購入,飾りを作る
和菓子の細工用に購入,食材を細工する
着色用に使いました,食材を加工する
味噌づくりに使います,食材の形を整える
時計に重ねづけする為に購入しました,腕を飾る
子供とのおでかけや庭遊び用に購入しました,外で遊ぶ
お出かけにも持ち運びやすいサイズなので公園などでも活躍してくれそうです,外へ持ち運ぶ
会社敷地内に除草剤を撒くのに購入しました,除草剤を散布する
遠足にも使える,遠足の道具を入れる
前向きに抱っこ出来るのも赤ちゃんの目線も楽しくなるのかな,赤ちゃんを抱っこする
自作うきに使用する為に購入,うきに取り付ける
海で使用してないがテストでは他社の製品ｌｅｄではないより明るく視認性に優れている,うきの場所を視認する
自作うきに取り付けやすい,うきに取り付ける
当時も替えカバーを買ってずっと使っていたのですが元のソファカラーよりも黄色が強かったんです,ソファをカバーする
ソファ自体が中へたらないので替えカバーを替えたことでまた新品のような雰囲気になりました,ソファを保護する
野菜不足を補う,野菜不足を補う
飲みやかった,飲む
妊娠後期になり会陰マッサージ用に購入,マッサージをする
伸びが良く敏感肌でも問題なく使用できています,肌に塗る
子どもの遊ぶスペースを飾るために購入,部屋を飾る
こどものオモチャや洗濯物を入れるために購入,日用品を収納する
庭に敷くために購入しました,庭に敷く
レッドを購入しましたが良い感じで庭が明るくなりました,庭を飾る
低温調理に使うために買いました,低温で調理をする
西日が気になる洗面所の窓用に購入,窓を遮光する
家族や友人と囲むテーブルに火があるのはものすごく贅沢です,食卓に火をおこす
メザシやシシャモを焼き海苔をあぶるのに使います,食材をあぶる
しっかりしたシェルフで安定感ばっちりです,インテリア雑貨を収納する
スマホを収納するために購入しました,スマホを収納する
マニキュアが完全に隠せるわけではありませんが控えめなドットのレースと細めでもしっかりしたグログランリボンが大変品良く,手を覆う
一対持っていると安心,両手を隠す
教科書をすべて入れていく,教科書を入れる
大根おろし専用の機械を探していました,大根をおろす
スライスはまだ使ってないですが,野菜をスライスする
大人の着替え０セットと子供の着替え０セット財布や化粧ポーチ等かなり入りました,泊りがけに必要なものを入れて運ぶ
木が水を吸い上げる音を聴くために購入,小さな音を聴き取る
海外の大きな洗剤をうつし変えて使うのに購入,液体を入れる
子供たちにシャボン玉遊びをしてもらうために購入,シャボン玉を作る
ブルーライトカットのものをｓｕｒｆａｃｅｇｏ用に購入,ブルーライトをカットする
貼りにくいとかはなかったのですが小さな気泡チリがポツポツと入ってしまいました,デバイスを保護する
水筒を乾かすのにとても良い商品です,水筒を乾かす
ハンドメイドのピアスを入れるために購入,小さなものを収納する
リビングのコーナーに設置するために購入しましたシンプルで明るさもリモコンで調整出来るので申し分ありません,リビングのコーナーを明るくする
主に封筒の封をするのに使用するので幅広めのマステを探していました,封筒に封をする
室内の乾燥具合を知る為に購入,湿度を測る
天気もついてますが全く当たりませんので無意味,天気を予測する
気温や湿度が目安ぐらいにはなります,気温や湿度を測る
タンブラーで生ビールを出してくれる居酒屋に行きいつまでも美味しいことに感動し自宅用に購入しました,生ビールを飲む
お酒もホットドリンクも全てこのタンブラーで飲んでます,お酒やホットドリンクを飲む
授乳ブラなんてどれを使っても大して変わりないと思っていました,授乳期に胸につける
大学生の娘がスポーツジムで着用するために購入,スポーツジムで着用する
ｉｐｈｏｎｅのデータを保存するために購入,データを保存する
いっきに沢山の麦茶をつくるために購入,麦茶を作る
やかんに張ってある注意書きのシールが剥がれないので更に★マイナス０です,お湯を沸かす
結婚式に出席するために購入☆シャツと一緒にこのスーツをたのんだのですが,結婚式に着る
ショップの店頭に飾るために購入しました,店頭に飾る
幼犬からコードを守るために購入,コードを守る
オムツを持ち歩くのに便利です,オムツを持ち歩く
手帳に貼るために購入,手帳に張る
感染を予防するのに使っています,病気の感染を予防する
スマホと財布を入れる為に購入,スマホと財布を入れる
戸を外した押入れに洋服をかけるのに使っています,押し入れに洋服をかける
お酒を割るのに使ったり,お酒を割る
そのままでも飲んだりしています,そのまま飲む
懸垂を始めるのに良いかと思い購入しました,懸垂をする
新聞をいれるために購入しました,新聞を入れる
紙類や雑誌などの置き場所としてちょうどいいと思います,紙類や雑誌を置く
貼る時に少し出ているところを削るのに便利でした,はみ出ている部分を削る
車で充電用に購入,充電する
確かに髪の毛は以前のようにゴシゴシ拭かなくても十分に水分吸収してくれます,髪の毛を拭く
清掃の仕事で着るために購入しました,清掃の仕事で着用する
非常に昼寝用によいです,昼寝をする
０ｃの配線と０ｃをつなげるのに購入しました,配線をつなげる
脱いだ服を一時的に入れておくために購入しました,脱いだ服を一時的に入れておく
タイヤレバー傷を隠すのに使いましたが,タイヤレバー傷を隠す
赤ちゃんとお風呂に入るために購入しました,赤ちゃんとお風呂に入る
鍾乳洞に入るために購入し使ってみました,鍾乳洞に入る
